Title;Year;Genres;Language;Country;Content Rating;Duration;Aspect Ratio;Budget;Gross Earnings;Director;Actor 1;Actor 2;Actor 3;Facebook Likes - Director;Facebook Likes - Actor 1;Facebook Likes - Actor 2;Facebook Likes - Actor 3;Facebook Likes - cast Total;Facebook likes - Movie;Facenumber in posters;User Votes;Reviews by Users;Reviews by Crtiics;IMDB Score;
The Claim ;2000;Drama|Romance|Western;English;UK;R;115;2,35;20000000;403932;Michael Winterbottom;Milla Jovovich;Sarah Polley;Shirley Henderson;187;14000;900;887;17104;141;4;5254;92;71;6,5;
The Contender ;2000;Drama|Thriller;English;USA;R;126;1,85;20000000;17804273;Rod Lurie;Jeff Bridges;Gary Oldman;William Petersen;37;12000;10000;883;25660;1000;0;20449;370;136;7;
The Crew ;2000;Comedy|Crime;English;USA;PG-13;88;1,85;23000000;13019253;Michael Dinner;Seymour Cassel;Dan Hedaya;Lainie Kazan;12;327;281;249;1509;153;4;3914;47;53;5,6;
The Emperor's New Groove ;2000;Adventure|Animation|Comedy|Family|Fantasy;English;USA;G;78;1,66;100000000;89296573;Mark Dindal;Eartha Kitt;Wendie Malick;John Fiedler;10;558;452;253;2039;0;1;128285;297;141;7,3;
The Family Man ;2000;Comedy|Drama|Fantasy|Romance;English;USA;PG-13;125;2,35;60000000;75764085;Brett Ratner;Nicolas Cage;Don Cheadle;Amber Valletta;420;12000;3000;627;16646;0;1;85844;322;121;6,7;
The Flintstones in Viva Rock Vegas ;2000;Comedy|Family|Romance|Sci-Fi;English;USA;PG;90;1,85;60000000;35231365;Brian Levant;Taylor Negron;Mark Addy;Danny Woodburn;32;1000;891;809;6299;500;0;15517;85;57;3,6;
The House of Mirth ;2000;Drama|Romance;English;UK;PG;135;2,35;10000000;3041803;Terence Davies;Eric Stoltz;Anthony LaPaglia;Elizabeth McGovern;25;902;576;553;2735;345;0;6377;181;96;7,1;
The In Crowd ;2000;Drama|Mystery|Thriller;English;USA;PG-13;105;1,85;15000000;5217498;Mary Lambert;Matthew Settle;Susan Ward;A.J. Buckley;52;477;397;275;2312;157;4;3668;85;49;4,6;
The Kid ;2000;Comedy|Family|Fantasy;English;USA;PG;104;1,85;60000000;69688384;Jon Turteltaub;Bruce Willis;Lily Tomlin;Daniel von Bargen;226;13000;718;577;16452;0;1;34473;139;86;6,1;
The Ladies Man ;2000;Comedy;English;USA;R;84;1,85;11000000;13592872;Reginald Hudlin;Will Ferrell;John Witherspoon;Tim Meadows;71;8000;723;553;10982;671;1;10777;79;58;5,1;
The Legend of Bagger Vance ;2000;Drama|Fantasy|Sport;English;USA;PG-13;126;1,85;60000000;30695227;Robert Redford;Matt Damon;Will Smith;Charlize Theron;0;13000;10000;9000;34774;0;3;45296;267;125;6,7;
The Little Vampire ;2000;Adventure|Comedy|Family|Fantasy;English;Germany;PG;95;1,85;22000000;13555988;Uli Edel;Richard E. Grant;Jim Carter;Alice Krige;34;554;439;368;2216;0;1;7242;38;38;5,7;
The Next Best Thing ;2000;Comedy|Drama|Romance;English;USA;PG-13;99;1,85;25000000;14983572;John Schlesinger;Mark Valley;Rupert Everett;Illeana Douglas;154;774;692;347;2498;378;1;9361;162;86;4,7;
The Original Kings of Comedy ;2000;Comedy|Documentary;English;USA;R;115;1,85;3000000;38168022;Spike Lee;Bernie Mac;Cedric the Entertainer;Steve Harvey;0;1000;436;360;1964;290;0;4687;83;53;6,6;
The Patriot ;2000;Action|Drama|History|War;English;USA;R;142;2,35;110000000;113330342;Roland Emmerich;Heath Ledger;Adam Baldwin;Tom Wilkinson;776;13000;2000;1000;19454;4000;1;207613;1144;192;7,1;
The Perfect Storm ;2000;Action|Adventure|Drama|Thriller;English;USA;PG-13;130;2,35;140000000;182618434;Wolfgang Petersen;Karen Allen;Mary Elizabeth Mastrantonio;Bob Gunton;249;784;638;461;2684;0;0;133076;779;231;6,4;
The Replacements ;2000;Comedy|Sport;English;USA;PG-13;118;1,85;50000000;44737059;Howard Deutch;Keanu Reeves;Jon Favreau;Faizon Love;41;18000;4000;585;24024;0;1;48322;261;118;6,5;
The Road to El Dorado ;2000;Adventure|Animation|Comedy|Family|Romance;English;USA;PG;89;1,85;95000000;50802661;Bibo Bergeron;Frank Welker;Rosie Perez;Elton John;10;2000;919;442;3372;0;1;58300;139;82;6,9;
The Skulls ;2000;Action|Crime|Drama|Thriller;English;USA;PG-13;106;1,85;15000000;35007180;Rob Cohen;Paul Walker;Leslie Bibb;William Petersen;357;23000;1000;883;26652;0;0;26846;193;102;5,6;
The Specials ;2000;Action|Comedy|Fantasy|Sci-Fi;English;USA;R;82;1,85;1000000;12996;Craig Mazin;Judy Greer;James Gunn;Jamie Kennedy;82;2000;571;490;3905;210;0;1938;54;29;6;
The Tigger Movie ;2000;Animation|Comedy|Drama|Family|Musical;English;USA;G;77;1,78;30000000;45542421;Jun Falkenstein;Kath Soucie;John Fiedler;Ken Sansom;25;304;253;16;575;347;0;13319;53;89;6,3;
The Watcher ;2000;Crime|Horror|Mystery|Thriller;English;USA;R;97;1,85;33000000;28927720;Joe Charbanic;Keanu Reeves;Joseph Sikora;Chris Ellis;10;18000;223;178;18688;463;0;22220;181;103;5,3;
The Way of the Gun ;2000;Action|Crime|Drama|Thriller;English;USA;R;119;1,85;8500000;6047856;Christopher McQuarrie;Kristin Lehman;Nicky Katt;Dylan Kussman;188;187;127;35;358;1000;4;27536;327;117;6,7;
The Whole Nine Yards ;2000;Comedy|Crime;English;USA;R;98;1,85;24000000;57262492;Jonathan Lynn;Bruce Willis;Matthew Perry;Natasha Henstridge;36;13000;2000;900;17582;0;4;90374;318;129;6,7;
The Widow of Saint-Pierre ;2000;Drama|Romance;French;France;R;112;2,35;100000000;3058380;Patrice Leconte;Emir Kusturica;Daniel Auteuil;Yves Jacques;83;2000;370;8;2389;186;1;4767;69;61;7,3;
The Yards ;2000;Crime|Drama|Romance|Thriller;English;USA;R;115;2,35;24000000;882710;James Gray;Charlize Theron;Ellen Burstyn;Faye Dunaway;115;9000;1000;977;11433;401;2;16215;138;93;6,4;
The Young Unknowns ;2000;Drama;English;USA;R;87;;;58163;Catherine Jelski;Leslie Bibb;Eion Bailey;Arly Jover;0;1000;749;258;2359;4;0;122;3;13;4,2;
Thirteen Days ;2000;Drama|History|Thriller;English;USA;PG-13;145;1,85;80000000;34566746;Roger Donaldson;Bruce Greenwood;Jon Foster;Bruce Thomas;79;981;274;183;1825;0;1;45231;315;162;7,3;
Thomas and the Magic Railroad ;2000;Adventure|Comedy|Drama|Family|Fantasy;English;UK;G;85;1,85;19000000;15911333;Britt Allcroft;Mara Wilson;Colm Feore;Peter Fonda;2;1000;539;402;2429;663;1;2855;119;47;3,6;
Titan A.E. ;2000;Action|Adventure|Animation|Family|Sci-Fi;English;USA;PG;94;2,35;75000000;22751979;Don Bluth;Matt Damon;Janeane Garofalo;Nathan Lane;383;13000;1000;886;15857;0;0;52244;377;131;6,6;
Traffic ;2000;Crime|Drama|Thriller;English;USA;R;190;1,85;48000000;124107476;Steven Soderbergh;Michael O'Neill;Jacob Vargas;James Lew;0;599;399;215;1418;0;0;170684;867;223;7,6;
U-571 ;2000;Action|War;English;France;PG-13;116;2,35;62000000;77086030;Jonathan Mostow;Matthew McConaughey;Thomas Kretschmann;David Keith;84;11000;919;563;14931;0;0;65297;602;178;6,6;
Unbreakable ;2000;Drama|Mystery|Sci-Fi|Thriller;English;USA;PG-13;106;2,35;75000000;94999143;M. Night Shyamalan;Robin Wright;Bruce Willis;Michael Kelly;0;18000;13000;963;33645;0;0;245152;1344;294;7,2;
Urban Legends: Final Cut ;2000;Horror|Mystery|Thriller;English;USA;R;97;2,35;14000000;21468807;John Ottman;Loretta Devine;Joey Lawrence;Jacinda Barrett;83;912;786;579;2682;243;2;13048;227;108;4,1;
Urbania ;2000;Drama;English;USA;R;106;1,85;225000;1027119;Jon Shear;Dan Futterman;Josh Hamilton;Matt Keeslar;0;254;147;131;964;72;1;2742;73;38;7;
Vertical Limit ;2000;Action|Adventure|Drama|Thriller;English;USA;PG-13;124;1,85;75000000;68473360;Martin Campbell;Nicholas Lea;Scott Glenn;Ben Mendelsohn;258;867;826;748;3424;0;0;49536;379;134;5,9;
What Lies Beneath ;2000;Drama|Fantasy|Horror|Mystery|Thriller;English;USA;PG-13;130;2,35;100000000;155370362;Robert Zemeckis;Harrison Ford;Amber Valletta;Miranda Otto;0;11000;627;568;12890;0;0;98403;683;185;6,6;
What Planet Are You From? ;2000;Comedy|Sci-Fi;English;USA;R;87;1,85;50000000;6291602;Mike Nichols;Judy Greer;Linda Fiorentino;Garry Shandling;0;2000;602;591;3954;255;0;8070;91;82;5,6;
What Women Want ;2000;Comedy|Fantasy|Romance;English;USA;PG-13;127;1,37;70000000;182805123;Nancy Meyers;Judy Greer;Lisa Edelstein;Loretta Devine;278;2000;955;912;5838;0;1;158864;395;149;6,4;
Whatever It Takes ;2000;Comedy|Drama|Romance;English;USA;PG-13;94;1,85;15000000;8735529;David Raynr;James Franco;Jodi Lyn O'Keefe;Marla Sokoloff;9;11000;897;612;13524;816;4;8055;89;50;5,5;
Where the Heart Is ;2000;Comedy|Drama|Romance;English;USA;PG-13;120;1,85;15000000;33771174;Matt Williams;Natalie Portman;James Frain;Stockard Channing;18;20000;1000;944;22383;0;2;27044;240;78;6,8;
Whipped ;2000;Comedy|Romance;English;USA;R;82;1,85;3000000;4142507;Peter M. Cohen;Callie Thorne;Brian Van Holt;David Heyman;0;472;324;51;858;131;1;3665;81;48;4,4;
Woman on Top ;2000;Comedy|Fantasy|Romance;English;USA;R;92;2,35;8000000;5018450;Fina Torres;Harold Perrineau;John de Lancie;Mark Feuerstein;26;1000;905;417;2687;859;0;8546;86;72;5,3;
Wonder Boys ;2000;Comedy|Drama;English;USA;R;107;2,35;55000000;19389454;Curtis Hanson;Robert Downey Jr.;Rip Torn;Richard Thomas;161;21000;826;549;22974;0;5;54643;335;173;7,4;
X-Men ;2000;Action|Adventure|Sci-Fi;English;USA;PG-13;104;2,35;75000000;157299717;Bryan Singer;Hugh Jackman;Tyler Mane;Bruce Davison;0;20000;764;505;21397;0;0;452928;1401;290;7,4;
You Can Count on Me ;2000;Drama;English;USA;R;111;1,85;1200000;9180275;Kenneth Lonergan;Matthew Broderick;Rory Culkin;Gaby Hoffmann;50;2000;710;612;4288;756;0;22145;231;122;7,7;
15 Minutes ;2001;Action|Crime|Drama|Thriller;English;USA;R;120;2,35;42000000;24375436;John Herzfeld;Robert De Niro;Charlize Theron;Kelsey Grammer;17;22000;9000;808;33585;748;1;42547;265;151;6,1;
3000 Miles to Graceland ;2001;Action|Comedy|Crime|Thriller;English;USA;R;125;2,35;42000000;15738632;Demian Lichtenstein;Jon Lovitz;Bokeem Woodbine;Ice-T;11;11000;904;867;14536;0;2;38076;399;113;5,9;
A Beautiful Mind ;2001;Biography|Drama;English;USA;PG-13;135;1,85;58000000;170708996;Ron Howard;Adam Goldberg;Austin Pendleton;Judd Hirsch;2000;1000;592;535;2827;29000;0;610568;1171;205;8,2;
A Knight's Tale ;2001;Action|Adventure|Romance;English;USA;PG-13;144;2,35;65000000;56083966;Brian Helgeland;Heath Ledger;Rufus Sewell;Bérénice Bejo;241;13000;3000;996;18761;0;1;137003;658;167;6,9;
A.I. Artificial Intelligence ;2001;Adventure|Drama|Sci-Fi;English;USA;PG-13;146;1,85;100000000;78616689;Steven Spielberg;Haley Joel Osment;William Hurt;Kevin Sussman;14000;3000;882;681;6217;11000;0;238747;2153;281;7,1;
Ali ;2001;Biography|Drama|Sport;English;USA;R;165;2,35;107000000;58183966;Michael Mann;Will Smith;Jada Pinkett Smith;Joe Morton;0;10000;851;780;14196;0;1;79186;386;174;6,8;
Alias Betty ;2001;Comedy|Crime|Drama|Romance|Thriller;French;France;;103;;50000000;206400;Claude Miller;Sandrine Kiberlain;Edouard Baer;Roschdy Zem;27;71;59;59;262;26;0;1439;26;38;6,9;
All the Queen's Men ;2001;Action|Comedy|Drama|War;English;Germany;PG-13;105;2,35;25000000;22723;Stefan Ruzowitzky;Eddie Izzard;Udo Kier;Edward Fox;24;776;595;125;1732;193;1;2236;40;19;4,5;
Along Came a Spider ;2001;Crime|Drama|Thriller;English;USA;R;104;2,35;60000000;74058698;Lee Tamahori;Morgan Freeman;Billy Burke;Monica Potter;93;11000;2000;878;17109;0;0;59232;317;133;6,3;
Amélie ;2001;Comedy|Romance;French;France;R;122;2,35;77000000;33201661;Jean-Pierre Jeunet;Mathieu Kassovitz;Jamel Debbouze;Isabelle Nanty;0;326;326;54;809;39000;0;534262;1314;242;8,4;
American Desi ;2001;Comedy|Drama|Romance;English;USA;Unrated;100;1,85;250000;902835;Piyush Dinker Pandya;Purva Bedi;Rizwan Manji;Anil Kumar;0;250;89;51;454;133;2;1489;40;9;6,7;
American Outlaws ;2001;Action|Western;English;USA;PG-13;94;1,85;35000000;13264986;Les Mayfield;Gregory Smith;Ronny Cox;Harris Yulin;10;694;605;141;1668;433;2;12077;162;44;6;
American Pie 2 ;2001;Comedy;English;USA;R;108;1,85;30000000;145096820;J.B. Rogers;Alyson Hannigan;Shannon Elizabeth;Natasha Lyonne;6;3000;1000;1000;7872;0;0;200260;431;142;6,4;
America's Sweethearts ;2001;Comedy|Romance;English;USA;PG-13;102;2,35;48000000;93607673;Joe Roth;Julia Roberts;Rainn Wilson;Larry King;148;8000;973;135;9176;881;4;47573;343;142;5,7;
Angel Eyes ;2001;Drama|Romance;English;USA;R;102;1,85;38000000;24044532;Luis Mandoki;Sonia Braga;Shirley Knight;Kari Matchett;43;308;285;280;1440;689;0;19686;180;106;5,6;
Antitrust ;2001;Action|Crime|Drama|Thriller;English;USA;PG-13;109;2,35;30000000;10965209;Peter Howitt;Tyler Labine;Richard Roundtree;Ned Bellamy;29;779;240;91;1297;0;2;25558;221;123;6,1;
Atlantis: The Lost Empire ;2001;Action|Adventure|Animation|Family|Fantasy|Sci-Fi;English;USA;PG;95;2,35;120000000;84037039;Gary Trousdale;Leonard Nimoy;Jim Varney;Cree Summer;21;12000;802;503;15237;0;0;72591;289;146;6,8;
Ayurveda: Art of Being ;2001;Documentary;English;India;;102;1,85;300000;16892;Pan Nalin;;;;95;;;;0;379;0;341;12;15;7,6;
Baby Boy ;2001;Crime|Drama|Romance|Thriller;English;USA;R;130;1,85;16000000;28734552;John Singleton;Mo'Nique;Snoop Dogg;Angell Conwell;309;939;881;522;3107;1000;2;9566;81;41;6,4;
Bandits ;2001;Comedy|Crime|Drama|Romance;English;USA;PG-13;123;2,35;80000000;41523271;Barry Levinson;Bruce Willis;Brían F. O'Byrne;Azura Skye;272;13000;450;193;13934;0;2;57038;261;132;6,6;
Behind Enemy Lines ;2001;Action|Drama|Thriller|War;English;USA;PG-13;106;2,35;40000000;59068786;John Moore;Joaquim de Almeida;David Keith;Sam Jaeger;212;578;563;389;2544;0;2;86902;411;131;6,4;
Birthday Girl ;2001;Comedy|Crime|Thriller;English;UK;R;93;2,35;13000000;4919896;Jez Butterworth;Mark Gatiss;Mathieu Kassovitz;Ben Chaplin;16;567;326;258;1775;618;1;21530;159;111;6,1;
Black Hawk Down ;2001;Drama|History|War;English;USA;R;152;2,35;92000000;108638745;Ridley Scott;Ioan Gruffudd;Sam Shepard;Ewen Bremner;0;2000;820;557;4270;10000;0;292022;1103;200;7,7;
Black Knight ;2001;Adventure|Comedy|Fantasy;English;USA;PG-13;95;2,35;50000000;33422806;Gil Junger;Tom Wilkinson;Marsha Thomason;Vincent Regan;19;1000;691;447;2643;0;1;30771;164;46;4,8;
Blow ;2001;Biography|Crime|Drama;English;USA;R;124;2,35;30000000;52937130;Ted Demme;Johnny Depp;Ethan Suplee;Jordi Mollà;47;40000;1000;877;43453;13000;1;198066;426;147;7,6;
Bridget Jones's Diary ;2001;Comedy|Drama|Romance;English;UK;R;97;2,35;26000000;71500556;Sharon Maguire;Colin Firth;Jim Broadbent;Shirley Henderson;11;14000;1000;887;16999;0;3;171568;571;168;6,7;
Brigham City ;2001;Crime|Drama|Mystery;English;USA;PG-13;119;1,85;1000000;798341;Richard Dutcher;Wilford Brimley;Frank Gerrish;Rick Macy;13;957;81;25;1107;100;0;983;63;12;7,2;
Bubble Boy ;2001;Adventure|Comedy|Romance|Sci-Fi;English;USA;PG-13;84;2,35;13000000;5002310;Blair Hayes;Jake Gyllenhaal;Geoffrey Arend;Marley Shelton;2;15000;816;690;18864;0;0;25541;181;47;5,6;
Buffalo Soldiers ;2001;Comedy|Crime|Drama|Thriller|War;English;UK;R;98;2,35;15000000;353743;Gregor Jordan;Dean Stockwell;Scott Glenn;Leon;34;936;826;730;3578;664;1;20730;111;109;6,9;
Bully ;2001;Biography|Crime|Drama;English;USA;R;115;1,85;;510092;Larry Clark;Kelli Garner;Nick Stahl;Brad Renfro;184;730;648;551;3293;0;0;29424;336;76;7;
Captain Corelli's Mandolin ;2001;Drama|Music|Romance|War;English;UK;R;131;2,35;57000000;25528495;John Madden;Christian Bale;Irene Papas;Mihalis Giannatos;108;23000;243;58;23325;0;2;28099;220;96;5,9;
Cats & Dogs ;2001;Action|Comedy|Family|Fantasy;English;USA;PG;87;1,85;60000000;93375151;Lawrence Guterman;Carol Ann Susi;Elizabeth Perkins;Miriam Margolyes;6;3000;664;405;4171;0;0;46031;235;105;5,2;
Corky Romano ;2001;Comedy|Crime;English;USA;PG-13;86;1,85;11000000;23978402;Rob Pritts;Vincent Pastore;Vinessa Shaw;Peter Berg;5;584;580;532;3850;365;1;10966;100;62;4,6;
Crazy/Beautiful ;2001;Drama|Romance;English;USA;PG-13;135;1,85;14000000;16929123;John Stockwell;Kirsten Dunst;Jay Hernandez;Rolando Molina;134;4000;1000;525;6214;0;2;21406;169;84;6,5;
Crocodile Dundee in Los Angeles ;2001;Adventure|Comedy|Crime;English;Australia;PG;92;1,85;21150000;25590119;Simon Wincer;Jere Burns;Paul Hogan;Linda Kozlowski;23;460;442;162;1315;387;0;19699;119;71;4,8;
Dogtown and Z-Boys ;2001;Documentary|Sport;English;USA;PG-13;91;1,37;;1293295;Stacy Peralta;Tony Alva;Jay Adams;Jeff Ament;147;22;20;5;54;0;0;10366;88;86;7,7;
Domestic Disturbance ;2001;Crime|Mystery|Thriller;English;USA;PG-13;89;2,35;53000000;45207112;Harold Becker;Steve Buscemi;Teri Polo;Matt O'Leary;17;12000;708;303;13390;361;1;21283;190;98;5,5;
Donnie Darko ;2001;Drama|Sci-Fi|Thriller;English;USA;R;133;2,35;4500000;727883;Richard Kelly;Jake Gyllenhaal;Mary McDonnell;James Duval;219;15000;933;701;17040;33000;1;580999;2110;283;8,1;
Don't Say a Word ;2001;Crime|Drama|Mystery|Thriller;English;USA;R;113;2,35;50000000;54997476;Gary Fleder;Oliver Platt;Jennifer Esposito;Conrad Goode;39;1000;912;477;3341;970;0;40362;248;113;6,3;
Double Take ;2001;Action|Comedy|Crime|Thriller;English;USA;PG-13;88;2,35;24000000;20218;George Gallo;Daniel Roebuck;Eddie Griffin;Garcelle Beauvais;269;1000;489;384;2557;204;2;5431;50;45;5,3;
Down and Out with the Dolls ;2001;Comedy|Music;English;USA;R;88;1,78;1200000;58936;Kurt Voss;Lemmy;Coyote Shivers;Zoë Poledouris;0;268;44;3;318;27;0;91;4;12;6,1;
Down to Earth ;2001;Comedy|Fantasy;English;USA;PG-13;87;1,85;30000000;64172251;Chris Weitz;Chazz Palminteri;Mark Addy;Wanda Sykes;129;979;891;560;2911;602;1;19079;122;61;5,4;
Dr. Dolittle 2 ;2001;Comedy|Family|Fantasy;English;USA;PG;87;2,35;72000000;112950721;Steve Carr;Raven-Symoné;Jeffrey Jones;Kevin Pollak;41;1000;692;574;3287;266;0;33884;79;91;4,6;
Driven ;2001;Action|Drama|Sport;English;USA;PG-13;116;2,35;72000000;32616869;Renny Harlin;Sylvester Stallone;Estella Warren;Cristián de la Fuente;212;13000;658;462;14780;886;0;34435;346;109;4,5;
Elling ;2001;Comedy|Drama;Norwegian;Norway;R;89;1,85;15500000;313436;Petter Næss;Jørgen Langhelle;Per Christian Ellefsen;Sven Nordin;16;117;21;14;155;0;0;12244;95;67;7,6;
Enemy at the Gates ;2001;Drama|History|War;English;USA;R;131;2,35;68000000;51396781;Jean-Jacques Annaud;Bob Hoskins;Gabriel Thomson;Clemens Schick;218;5000;35;29;5103;0;1;188887;662;187;7,6;
Exit Wounds ;2001;Action|Comedy|Crime|Drama|Thriller;English;USA;R;101;2,35;33000000;51758599;Andrzej Bartkowiak;Michael Jai White;Bill Duke;Bruce McGill;43;2000;1000;655;5942;742;0;27580;232;107;5,5;
Final Fantasy: The Spirits Within ;2001;Action|Adventure|Animation|Fantasy|Romance|Sci-Fi;English;USA;PG-13;106;1,85;137000000;32131830;Hironobu Sakaguchi;Steve Buscemi;Ming-Na Wen;Jean Simmons;6;12000;2000;422;15015;0;1;72259;788;166;6,4;
Formula 51 ;2001;Action|Comedy|Crime|Thriller;English;UK;R;93;2,35;28000000;5204007;Ronny Yu;Meat Loaf;Junix Inocian;Paul Barber;31;783;132;57;1044;0;2;42876;167;95;6,3;
Frailty ;2001;Crime|Drama|Thriller;English;USA;R;100;1,85;11000000;13103828;Bill Paxton;Matthew McConaughey;Powers Boothe;Matt O'Leary;0;11000;472;303;12237;5000;0;59982;463;161;7,3;
Freddy Got Fingered ;2001;Comedy;English;USA;R;87;1,85;15000000;14249005;Tom Green;Rip Torn;Harland Williams;Eddie Kaye Thomas;374;826;503;484;2689;0;1;39788;619;97;4,5;
From Hell ;2001;Horror|Mystery|Thriller;English;USA;R;122;2,35;35000000;31598308;Albert Hughes;Johnny Depp;Jason Flemyng;Ian Richardson;117;40000;1000;140;41636;0;1;124765;541;208;6,8;
From Hell ;2001;Horror|Mystery|Thriller;English;USA;R;122;2,35;35000000;31598308;Albert Hughes;Johnny Depp;Jason Flemyng;Ian Richardson;117;40000;1000;140;41636;0;1;124765;541;208;6,8;
Get Over It ;2001;Comedy|Romance;English;USA;PG-13;87;2,35;22000000;11560259;Tommy O'Haver;Mila Kunis;Kirsten Dunst;Carmen Electra;13;15000;4000;869;22485;0;1;15617;180;63;5,8;
Ghost World ;2001;Comedy|Drama;English;USA;R;111;1,85;7000000;6200756;Terry Zwigoff;Scarlett Johansson;Steve Buscemi;T.J. Thyne;72;19000;12000;722;34106;5000;0;96129;488;122;7,4;
Ghosts of Mars ;2001;Action|Horror|Sci-Fi;English;USA;R;98;2,35;28000000;8434601;John Carpenter;Jason Statham;Clea DuVall;Natasha Henstridge;0;26000;1000;900;28867;0;5;43006;460;156;4,9;
Glitter ;2001;Drama|Music|Romance;English;USA;PG-13;104;2,35;22000000;4273372;Vondie Curtis-Hall;Mariah Carey;Max Beesley;Valarie Pettiford;170;736;218;202;1854;0;1;19412;308;66;2,1;
Gosford Park ;2001;Drama|Mystery;English;UK;R;131;2,35;19800000;41300105;Robert Altman;Kristin Scott Thomas;Bob Balaban;Tom Hollander;500;1000;559;555;3261;0;0;65201;651;187;7,3;
Hardball ;2001;Drama|Sport;English;USA;PG-13;106;1,85;21000000;40219708;Brian Robbins;Keanu Reeves;D.B. Sweeney;DeWayne Warren;48;18000;558;39;18630;0;3;22649;131;85;6,3;
Harry Potter and the Sorcerer's Stone ;2001;Adventure|Family|Fantasy;English;UK;PG;159;2,35;125000000;317557891;Chris Columbus;Daniel Radcliffe;Fiona Shaw;Verne Troyer;0;11000;687;645;13191;16000;4;444683;1571;258;7,5;
Harvard Man ;2001;Comedy|Crime|Drama|Romance|Thriller;English;USA;R;99;2,35;5500000;56007;James Toback;Sarah Michelle Gellar;Eric Stoltz;Joey Lauren Adams;56;4000;902;781;6776;113;3;3754;69;27;4,9;
Head Over Heels ;2001;Comedy|Mystery|Romance;English;USA;PG-13;86;2,35;14000000;10397365;Mark Waters;Monica Potter;Ivana Milicevic;China Chow;70;878;834;169;2165;613;5;11693;104;61;5,4;
Heartbreakers ;2001;Comedy|Crime|Romance;English;USA;PG-13;123;2,35;35000000;40334024;David Mirkin;Sarah Silverman;Anne Bancroft;Jeffrey Jones;7;931;754;692;2912;989;3;44168;216;116;6,2;
Hearts in Atlantis ;2001;Drama|Mystery;English;USA;PG-13;101;2,35;31000000;24185781;Scott Hicks;Anthony Hopkins;Mika Boorem;Hope Davis;96;12000;495;442;13811;0;1;30339;268;135;6,9;
Hedwig and the Angry Inch ;2001;Comedy|Drama|Music|Musical;English;USA;R;95;1,85;6000000;3029081;John Cameron Mitchell;John Cameron Mitchell;Miriam Shor;Andrea Martin;263;263;261;179;993;0;0;26300;231;108;7,8;
High Heels and Low Lifes ;2001;Action|Comedy|Drama;English;UK;R;86;1,85;10000000;226792;Mel Smith;Minnie Driver;Danny Dyer;Mary McCormack;302;893;798;428;3049;117;2;3080;44;43;6,2;
How High ;2001;Comedy|Fantasy;English;USA;R;93;1,85;12000000;31155435;Jesse Dylan;Hector Elizondo;Fred Willard;T.J. Thyne;58;995;729;722;6105;0;2;42644;102;34;6,2;
I Am Sam ;2001;Drama;English;USA;PG-13;132;1,85;22000000;40270895;Jessie Nelson;Dianne Wiest;Loretta Devine;Richard Schiff;24;967;912;506;3152;15000;0;121937;431;129;7,6;
Impostor ;2001;Drama|Mystery|Sci-Fi|Thriller;English;USA;R;102;1,85;40000000;6114237;Gary Fleder;Gary Dourdan;Mekhi Phifer;Tim Guinee;39;1000;1000;259;2664;892;4;19986;207;83;6,2;
